activity_id,week,location_id,co_share_group
A001,21,PLAT:BET:S15:EB,b1
A001,21,PLAT:BET:S16:EB,b1
A001,21,PLAT:BET:S17:EB,b1
A001,21,SEC:BET:S15_S16:EB,b1
A001,21,SEC:BET:S16_S17:EB,b1
A001,22,PLAT:BET:S15:EB,b1
A001,22,PLAT:BET:S16:EB,b1
A001,22,PLAT:BET:S17:EB,b1
A001,22,SEC:BET:S15_S16:EB,b1
A001,22,SEC:BET:S16_S17:EB,b1
A002,1,PLAT:BET:S11:WB,b1
A002,1,PLAT:BET:S12:WB,b1
A002,1,PLAT:BET:S13:WB,b1
A002,1,SEC:BET:S11_S12:WB,b1
A002,1,SEC:BET:S12_S13:WB,b1
A003,11,PLAT:BET:H01:EB,b1
A003,11,PLAT:BET:H02:EB,b1
A003,11,PLAT:BET:S15:EB,b1
A003,11,PLAT:BET:S16:EB,b1
A003,11,SEC:BET:H01_H02:EB,b1
A003,11,SEC:BET:H02_S15:EB,b1
A003,11,SEC:BET:S15_S16:EB,b1
A003,12,PLAT:BET:H01:EB,b1
A003,12,PLAT:BET:H02:EB,b1
A003,12,PLAT:BET:S15:EB,b1
A003,12,PLAT:BET:S16:EB,b1
A003,12,SEC:BET:H01_H02:EB,b1
A003,12,SEC:BET:H02_S15:EB,b1
A003,12,SEC:BET:S15_S16:EB,b1
A003,13,PLAT:BET:H01:EB,b1
A003,13,PLAT:BET:H02:EB,b1
A003,13,PLAT:BET:S15:EB,b1
A003,13,PLAT:BET:S16:EB,b1
A003,13,SEC:BET:H01_H02:EB,b1
A003,13,SEC:BET:H02_S15:EB,b1
A003,13,SEC:BET:S15_S16:EB,b1
A003,14,PLAT:BET:H01:EB,b1
A003,14,PLAT:BET:H02:EB,b1
A003,14,PLAT:BET:S15:EB,b1
A003,14,PLAT:BET:S16:EB,b1
A003,14,SEC:BET:H01_H02:EB,b1
A003,14,SEC:BET:H02_S15:EB,b1
A003,14,SEC:BET:S15_S16:EB,b1
A003,15,PLAT:BET:H01:EB,b1
A003,15,PLAT:BET:H02:EB,b1
A003,15,PLAT:BET:S15:EB,b1
A003,15,PLAT:BET:S16:EB,b1
A003,15,SEC:BET:H01_H02:EB,b1
A003,15,SEC:BET:H02_S15:EB,b1
A003,15,SEC:BET:S15_S16:EB,b1
A004,16,PLAT:ALP:H01:EB,b1
A004,16,PLAT:ALP:S03:EB,b1
A004,16,PLAT:ALP:S04:EB,b1
A004,16,SEC:ALP:S03_S04:EB,b1
A004,16,SEC:ALP:S04_H01:EB,b1
A004,17,PLAT:ALP:H01:EB,b1
A004,17,PLAT:ALP:S03:EB,b1
A004,17,PLAT:ALP:S04:EB,b1
A004,17,SEC:ALP:S03_S04:EB,b1
A004,17,SEC:ALP:S04_H01:EB,b1
A004,21,PLAT:ALP:H01:EB,b1
A004,21,PLAT:ALP:S03:EB,b1
A004,21,PLAT:ALP:S04:EB,b1
A004,21,SEC:ALP:S03_S04:EB,b1
A004,21,SEC:ALP:S04_H01:EB,b1
A006,3,PLAT:ALP:H01:WB,b1
A006,3,PLAT:ALP:H02:WB,b1
A006,3,PLAT:ALP:S03:WB,b1
A006,3,PLAT:ALP:S04:WB,b1
A006,3,SEC:ALP:H01_H02:WB,b1
A006,3,SEC:ALP:S03_S04:WB,b1
A006,3,SEC:ALP:S04_H01:WB,b1
A006,23,PLAT:ALP:H01:WB,b1
A006,23,PLAT:ALP:H02:WB,b1
A006,23,PLAT:ALP:S03:WB,b1
A006,23,PLAT:ALP:S04:WB,b1
A006,23,SEC:ALP:H01_H02:WB,b1
A006,23,SEC:ALP:S03_S04:WB,b1
A006,23,SEC:ALP:S04_H01:WB,b1
A007,15,PLAT:BET:H01:EB,b1
A007,15,PLAT:BET:H02:EB,b1
A007,15,SEC:BET:H01_H02:EB,b1
A007,16,PLAT:BET:H01:EB,b1
A007,16,PLAT:BET:H02:EB,b1
A007,16,SEC:BET:H01_H02:EB,b1
A007,17,PLAT:BET:H01:EB,b1
A007,17,PLAT:BET:H02:EB,b1
A007,17,SEC:BET:H01_H02:EB,b1
A007,18,PLAT:BET:H01:EB,b1
A007,18,PLAT:BET:H02:EB,b1
A007,18,SEC:BET:H01_H02:EB,b1
A007,20,PLAT:BET:H01:EB,b1
A007,20,PLAT:BET:H02:EB,b1
A007,20,SEC:BET:H01_H02:EB,b1
A007,21,PLAT:BET:H01:EB,b1
A007,21,PLAT:BET:H02:EB,b1
A007,21,SEC:BET:H01_H02:EB,b1
A007,23,PLAT:BET:H01:EB,b1
A007,23,PLAT:BET:H02:EB,b1
A007,23,SEC:BET:H01_H02:EB,b1
A008,16,PLAT:BET:S17:EB,b1
A008,16,PLAT:BET:S18:EB,b1
A008,16,SEC:BET:S17_S18:EB,b1
A008,17,PLAT:BET:S17:EB,b1
A008,17,PLAT:BET:S18:EB,b1
A008,17,SEC:BET:S17_S18:EB,b1
A008,22,PLAT:BET:S17:EB,b1
A008,22,PLAT:BET:S18:EB,b1
A008,22,SEC:BET:S17_S18:EB,b1
A008,23,PLAT:BET:S17:EB,b1
A008,23,PLAT:BET:S18:EB,b1
A008,23,SEC:BET:S17_S18:EB,b1
A008,24,PLAT:BET:S17:EB,b1
A008,24,PLAT:BET:S18:EB,b1
A008,24,SEC:BET:S17_S18:EB,b1
A009,3,PLAT:ALP:S05:EB,b1
A009,3,PLAT:ALP:S06:EB,b1
A009,3,SEC:ALP:S05_S06:EB,b1
A009,4,PLAT:ALP:S05:EB,b1
A009,4,PLAT:ALP:S06:EB,b1
A009,4,SEC:ALP:S05_S06:EB,b1
A009,5,PLAT:ALP:S05:EB,b1
A009,5,PLAT:ALP:S06:EB,b1
A009,5,SEC:ALP:S05_S06:EB,b1
A009,17,PLAT:ALP:S05:EB,b1
A009,17,PLAT:ALP:S06:EB,b1
A009,17,SEC:ALP:S05_S06:EB,b1
A009,18,PLAT:ALP:S05:EB,b1
